,date,playlist_type,avg_popularity,artist,num_distinct_songs
476,2023-11-06,Top,47.666666666666664,V:RGO,3
477,2023-11-06,Viral,68.0,Viktor Sheen,3
478,2023-11-06,Top,80.5,Vishal Mishra,3
479,2023-11-06,Top,67.33333333333333,Wren Evans,3
480,2023-11-06,Top,60.0,YAKTAK,3
481,2023-11-06,Top,69.0,Young Jonn,3
482,2023-11-06,Top,73.66666666666667,Yuuri,3
483,2023-11-06,Top,81.33333333333333,Zé Neto & Cristiano,3
484,2023-11-06,Top,43.0,villemdrillem,3
485,2023-11-06,Viral,52.0,ששון איפרם שאולוב,3
486,2023-11-04,Top,82.5,(G)I-DLE,2
487,2023-11-04,Viral,51.5,Abhir Hathi,2
488,2023-11-04,Top,74.0,Aditya Rikhari,2
489,2023-11-04,Top,68.0,Ahmed Saad,2
490,2023-11-04,Top,51.0,Alex Botea,2
491,2023-11-04,Top,82.0,Alfredo Olivas,2
492,2023-11-04,Viral,81.58620689655173,Aliyah's Interlude,2
493,2023-11-04,Viral,76.625,Amaru,2
494,2023-11-04,Top,74.5,Amy Macdonald,2
495,2023-11-04,Top,85.5,Ana Castela,2
496,2023-11-04,Top,63.5,Anastasia,2
497,2023-11-04,Top,77.5,Angelina Mango,2
498,2023-11-04,Top,85.33333333333333,Anuel AA,2
499,2023-11-04,Top,94.0909090909091,Arctic Monkeys,2
500,2023-11-04,Top,75.5,Arcángel,2
501,2023-11-04,Top,76.5,Arijit Singh,2
502,2023-11-04,Top,43.5,Aron Can,2
503,2023-11-04,Top,74.5,Artie 5ive,2
504,2023-11-04,Top,63.0,BEHM,2
505,2023-11-04,Top,74.0,Baby Gang,2
506,2023-11-04,Top,64.5,Bahaa Sultan,2
507,2023-11-04,Viral,38.0,Bahd Man Niko,2
508,2023-11-04,Top,63.0,Bausa,2
509,2023-11-04,Top,95.64285714285714,Billie Eilish,2
510,2023-11-04,Top,64.5,Bnxn,2
511,2023-11-04,Top,65.0,Bossikan,2
512,2023-11-04,Top,85.0,Brray,2
513,2023-11-04,Top,57.0,Bruno X Spacc,2
514,2023-11-04,Top,59.0,Bárbara Bandeira,2
515,2023-11-04,Top,64.25,C.Gambino,2
516,2023-11-04,Top,64.5,Cairokee,2
517,2023-11-04,Top,74.0,Calcutta ,2
518,2023-11-04,Top,86.8,Calvin Harris,2
519,2023-11-04,Viral,83.75,Carin Leon,2
520,2023-11-04,Viral,38.0,Carlos Agassi,2
521,2023-11-04,Top,81.0,Chase & Status,2
522,2023-11-04,Viral,80.53846153846153,Chase & Status,2
523,2023-11-04,Viral,42.0,Chri$tofer,2
524,2023-11-04,Top,87.5,Cigarettes After Sex,2
525,2023-11-04,Viral,84.0,Cigarettes After Sex,2
526,2023-11-04,Top,58.0,Cledos,2
527,2023-11-04,Top,67.5,Cocktail,2
528,2023-11-04,Viral,61.0,Crying City,2
529,2023-11-04,Viral,69.42857142857143,DJ FLG,2
530,2023-11-04,Top,62.5,DJ Stokie,2
531,2023-11-04,Top,60.0,DOROFEEVA,2
532,2023-11-04,Top,45.5,Daniil,2
533,2023-11-04,Top,76.33333333333333,Darshan Raval,2
534,2023-11-04,Top,89.25,Dave,2
535,2023-11-04,Top,73.5,Davido,2
536,2023-11-04,Top,61.5,De Mthuda,2
537,2023-11-04,Top,55.0,Dear Jane,2
538,2023-11-04,Top,82.0,Dei V,2
539,2023-11-04,Viral,82.0,Dei V,2
540,2023-11-04,Top,72.66666666666667,Diljit Dosanjh,2
541,2023-11-04,Top,60.5,Dillaz,2
542,2023-11-04,Top,50.5,Dimoff,2
543,2023-11-04,Viral,70.0,Djonga,2
544,2023-11-04,Top,54.0,Djordan,2
545,2023-11-04,Top,87.29787234042553,Doja Cat,2
546,2023-11-04,Viral,81.5925925925926,Doja Cat,2
547,2023-11-04,Viral,28.5,Dr. Alban,2
548,2023-11-04,Top,59.5,Duke,2
549,2023-11-04,Viral,77.0,Dylan Gossett,2
550,2023-11-04,Top,84.5,Eladio Carrion,2
551,2023-11-04,Viral,34.5,Ellen Krauss,2
552,2023-11-04,Top,62.0,Emma Steinbakken,2
553,2023-11-04,Top,66.5,Eric Chou,2
554,2023-11-04,Top,62.5,FACE,2
555,2023-11-04,Top,80.0,Fabio Asher,2
556,2023-11-04,Top,69.0,Favé,2
557,2023-11-04,Viral,82.33333333333333,Feid,2
558,2023-11-04,Top,80.5,Felipe Amorim,2
559,2023-11-04,Top,87.25,Fleetwood Mac,2
560,2023-11-04,Top,82.66666666666667,Fred again..,2
561,2023-11-04,Top,62.5,Fujii Kaze,2
