,artist,upload_time,num_countries
209,Katteyes,2023-11-05 14:18:19.598429,13
210,Katteyes,2023-11-06 10:43:30.354751,13
211,LIZOT,2023-11-04 16:43:27.452336,13
212,Olivia Rodrigo,2023-11-05 14:18:19.598429,13
213,Schnappi,2023-11-04 16:43:27.452336,13
214,Schnappi,2023-11-05 14:18:19.598429,13
215,Schnappi,2023-11-06 10:43:30.354751,13
216,Tems,2023-11-05 14:18:19.598429,13
217,Tems,2023-11-06 10:43:30.354751,13
218,The Neighbourhood,2023-11-06 10:43:30.354751,13
219,The Romantics,2023-11-05 14:18:19.598429,13
220,The Romantics,2023-11-06 10:43:30.354751,13
221,Carin Leon,2023-11-04 16:43:27.452336,12
222,Carin Leon,2023-11-05 14:18:19.598429,12
223,Carin Leon,2023-11-06 10:43:30.354751,12
224,DJ FLG,2023-11-04 16:43:27.452336,12
225,LIZOT,2023-11-05 14:18:19.598429,12
226,LIZOT,2023-11-06 10:43:30.354751,12
227,Mariah Carey,2023-11-05 14:18:19.598429,12
228,Olivia Rodrigo,2023-11-06 10:43:30.354751,12
229,Plan B,2023-11-04 16:43:27.452336,12
230,Plan B,2023-11-05 14:18:19.598429,12
231,Plan B,2023-11-06 10:43:30.354751,12
232,The Romantics,2023-11-04 16:43:27.452336,12
233,V,2023-11-06 10:43:30.354751,12
234,Wham!,2023-11-06 10:43:30.354751,12
235,Bad Gyal,2023-11-04 16:43:27.452336,11
236,Billie Eilish,2023-11-05 14:18:19.598429,11
237,DJ FLG,2023-11-05 14:18:19.598429,11
238,DJ FLG,2023-11-06 10:43:30.354751,11
239,Joel Sunny,2023-11-04 16:43:27.452336,11
240,Joel Sunny,2023-11-05 14:18:19.598429,11
241,Joel Sunny,2023-11-06 10:43:30.354751,11
242,Peso Pluma,2023-11-04 16:43:27.452336,11
243,Peso Pluma,2023-11-05 14:18:19.598429,11
244,Peso Pluma,2023-11-06 10:43:30.354751,11
245,The Kid LAROI,2023-11-04 16:43:27.452336,11
246,V,2023-11-04 16:43:27.452336,11
247,V,2023-11-05 14:18:19.598429,11
248,Eslabon Armado,2023-11-06 10:43:30.354751,10
249,Harry Styles,2023-11-05 14:18:19.598429,10
250,Humbe,2023-11-05 14:18:19.598429,10
251,Humbe,2023-11-06 10:43:30.354751,10
252,Jimin,2023-11-04 16:43:27.452336,10
253,Jimin,2023-11-05 14:18:19.598429,10
254,Jimin,2023-11-06 10:43:30.354751,10
255,Katya Lel,2023-11-05 14:18:19.598429,10
256,Katya Lel,2023-11-06 10:43:30.354751,10
257,King Gnu,2023-11-04 16:43:27.452336,10
258,Lord Huron,2023-11-04 16:43:27.452336,10
259,Lord Huron,2023-11-05 14:18:19.598429,10
260,Manuel Turizo,2023-11-05 14:18:19.598429,10
261,Manuel Turizo,2023-11-06 10:43:30.354751,10
262,Mariah Carey,2023-11-04 16:43:27.452336,10
263,Mora,2023-11-05 14:18:19.598429,10
264,Mora,2023-11-06 10:43:30.354751,10
265,Ozuna,2023-11-05 14:18:19.598429,10
266,Ozuna,2023-11-06 10:43:30.354751,10
267,Soley,2023-11-04 16:43:27.452336,10
268,Soley,2023-11-05 14:18:19.598429,10
269,Soley,2023-11-06 10:43:30.354751,10
270,Tainy,2023-11-04 16:43:27.452336,10
271,Tainy,2023-11-05 14:18:19.598429,10
272,Tainy,2023-11-06 10:43:30.354751,10
273,The Buttress,2023-11-04 16:43:27.452336,10
274,Yng Lvcas,2023-11-04 16:43:27.452336,10
275,Yng Lvcas,2023-11-05 14:18:19.598429,10
276,Yng Lvcas,2023-11-06 10:43:30.354751,10
277,Arctic Monkeys,2023-11-04 16:43:27.452336,9
278,Argy,2023-11-04 16:43:27.452336,9
279,Argy,2023-11-05 14:18:19.598429,9
280,Argy,2023-11-06 10:43:30.354751,9
281,David Guetta,2023-11-05 14:18:19.598429,9
282,GIMS,2023-11-04 16:43:27.452336,9
283,GIMS,2023-11-05 14:18:19.598429,9
284,GIMS,2023-11-06 10:43:30.354751,9
285,Harry Styles,2023-11-04 16:43:27.452336,9
286,Harry Styles,2023-11-06 10:43:30.354751,9
287,King Gnu,2023-11-05 14:18:19.598429,9
288,King Gnu,2023-11-06 10:43:30.354751,9
289,Manuel Turizo,2023-11-04 16:43:27.452336,9
290,Mora,2023-11-04 16:43:27.452336,9
291,Offset,2023-11-04 16:43:27.452336,9
292,Ozuna,2023-11-04 16:43:27.452336,9
